wav,resol,
401.024,39262.9,
401.385,39284.5,
401.693,39310.3,
401.994,39349.1,
402.295,39375,
402.559,39413.8,
402.860,39435.3,
403.138,39452.6,
403.424,39491.4,
403.703,39521.6,
404.004,39543.1,
404.297,39569.0,
404.583,39607.8,
404.854,39629.3,
405.163,39668.1,
405.434,39685.3,
405.720,39711.2,
406.006,39750,
406.284,39771.6,
406.608,39797.4,
406.894,39831.9,
407.157,39857.8,
407.466,39887.9,
407.767,39909.5,
408.030,39944.0,
408.331,39969.8,
408.602,40000,
408.903,40030.2,
409.189,40051.7,
409.460,40090.5,
409.776,40112.1,
410.055,40146.6,
410.341,40172.4,
410.627,40194.0,
410.935,40224.1,
411.214,40254.3,
411.492,40280.2,
411.778,40310.3,
412.087,40336.2,
412.357,40370.7,
412.643,40396.6,
412.952,40422.4,
413.223,40448.3,
413.554,40491.4,
413.810,40512.9,
414.103,40530.2,
414.397,40569.0,
414.675,40594.8,
414.909,40625,
