lamA thr
3500.0 0.987
3510.0 0.987
3520.0 0.987
3530.0 0.987
3540.0 0.987
3550.0 0.987
3560.0 0.987
3570.0 0.987
3580.0 0.987
3590.0 0.987
3600.0 0.987
3610.0 0.987
3620.0 0.987
3630.0 0.987
3640.0 0.987
3650.0 0.987
3660.0 0.987
3670.0 0.987
3680.0 0.987
3690.0 0.987
3700.0 0.987
3710.0 0.987
3720.0 0.987
3730.0 0.987
3740.0 0.987
3750.0 0.987
3760.0 0.987
3770.0 0.987
3780.0 0.987
3790.0 0.987
3800.0 0.987
3810.0 0.987
3820.0 0.987
3830.0 0.987
3840.0 0.987
3850.0 0.987
3860.0 0.987
3870.0 0.987
3880.0 0.987
3890.0 0.987
3900.0 0.987
3910.0 0.987
3920.0 0.987
3930.0 0.987
3940.0 0.987
3950.0 0.987
3960.0 0.987
3970.0 0.987
3980.0 0.987
3990.0 0.987
4000.0 0.987
4010.0 0.987
4020.0 0.987
4030.0 0.987
4040.0 0.987
4050.0 0.987
4060.0 0.987
4070.0 0.987
4080.0 0.987
4090.0 0.987
4100.0 0.987
4110.0 0.987
4120.0 0.987
4130.0 0.987
4140.0 0.987
4150.0 0.987
4160.0 0.987
4170.0 0.987
4180.0 0.987
4190.0 0.987
4200.0 0.987
4210.0 0.987
4220.0 0.987
4230.0 0.987
4240.0 0.987
4250.0 0.987
4260.0 0.987
4270.0 0.987
4280.0 0.987
4290.0 0.987
4300.0 0.987
4310.0 0.987
4320.0 0.987
4330.0 0.987
4340.0 0.987
4350.0 0.987
4360.0 0.987
4370.0 0.987
4380.0 0.987
4390.0 0.987
4400.0 0.987
4410.0 0.987
4420.0 0.987
4430.0 0.987
4440.0 0.987
4450.0 0.987
4460.0 0.987
4470.0 0.987
4480.0 0.987
4490.0 0.987
4500.0 0.987
4510.0 0.987
4520.0 0.987
4530.0 0.987
4540.0 0.987
4550.0 0.987
4560.0 0.987
4570.0 0.987
4580.0 0.987
4590.0 0.987
4600.0 0.987
4610.0 0.987
