lamA thr
3500.0 0.97
3510.0 0.97
3520.0 0.97
3530.0 0.97
3540.0 0.97
3550.0 0.97
3560.0 0.97
3570.0 0.97
3580.0 0.97
3590.0 0.97
3600.0 0.97
3610.0 0.97
3620.0 0.97
3630.0 0.97
3640.0 0.97
3650.0 0.97
3660.0 0.97
3670.0 0.97
3680.0 0.97
3690.0 0.97
3700.0 0.97
3710.0 0.97
3720.0 0.97
3730.0 0.97
3740.0 0.97
3750.0 0.97
3760.0 0.97
3770.0 0.97
3780.0 0.97
3790.0 0.97
3800.0 0.97
3810.0 0.97
3820.0 0.97
3830.0 0.97
3840.0 0.97
3850.0 0.97
3860.0 0.97
3870.0 0.97
3880.0 0.97
3890.0 0.97
3900.0 0.97
3910.0 0.97
3920.0 0.97
3930.0 0.97
3940.0 0.97
3950.0 0.97
3960.0 0.97
3970.0 0.97
3980.0 0.97
3990.0 0.97
4000.0 0.97
4010.0 0.97
4020.0 0.97
4030.0 0.97
4040.0 0.97
4050.0 0.97
4060.0 0.97
4070.0 0.97
4080.0 0.97
4090.0 0.97
4100.0 0.97
4110.0 0.97
4120.0 0.97
4130.0 0.97
4140.0 0.97
4150.0 0.97
4160.0 0.97
4170.0 0.97
4180.0 0.97
4190.0 0.97
4200.0 0.97
4210.0 0.97
4220.0 0.97
4230.0 0.97
4240.0 0.97
4250.0 0.97
4260.0 0.97
4270.0 0.97
4280.0 0.97
4290.0 0.97
4300.0 0.97
4310.0 0.97
4320.0 0.97
4330.0 0.97
4340.0 0.97
4350.0 0.97
4360.0 0.97
4370.0 0.97
4380.0 0.97
4390.0 0.97
4400.0 0.97
4410.0 0.97
4420.0 0.97
4430.0 0.97
4440.0 0.97
4450.0 0.97
4460.0 0.97
4470.0 0.97
4480.0 0.97
4490.0 0.97
4500.0 0.97
4510.0 0.97
4520.0 0.97
4530.0 0.97
4540.0 0.97
4550.0 0.97
4560.0 0.97
4570.0 0.97
4580.0 0.97
4590.0 0.97
4600.0 0.97
4610.0 0.97
4620.0 0.97
4630.0 0.97
4640.0 0.97
4650.0 0.97
4660.0 0.97
4670.0 0.97
4680.0 0.97
4690.0 0.97
4700.0 0.97
4710.0 0.97
4720.0 0.97
4730.0 0.97
4740.0 0.97
4750.0 0.97
4760.0 0.97
4770.0 0.97
4780.0 0.97
4790.0 0.97
4800.0 0.97
4810.0 0.97
4820.0 0.97
4830.0 0.97
4840.0 0.97
4850.0 0.97
4860.0 0.97
4870.0 0.97
4880.0 0.97
4890.0 0.97
4900.0 0.97
4910.0 0.97
4920.0 0.97
4930.0 0.97
4940.0 0.97
4950.0 0.97
4960.0 0.97
4970.0 0.97
4980.0 0.97
4990.0 0.97
5000.0 0.97
5010.0 0.97
5020.0 0.97
5030.0 0.97
5040.0 0.97
5050.0 0.97
5060.0 0.97
5070.0 0.97
5080.0 0.97
5090.0 0.97
5100.0 0.97
5110.0 0.97
5120.0 0.97
5130.0 0.97
5140.0 0.97
5150.0 0.97
5160.0 0.97
5170.0 0.97
5180.0 0.97
5190.0 0.97
5200.0 0.97
5210.0 0.97
5220.0 0.97
5230.0 0.97
5240.0 0.97
5250.0 0.97
5260.0 0.97
5270.0 0.97
5280.0 0.97
5290.0 0.97
5300.0 0.97
5310.0 0.97
5320.0 0.97
5330.0 0.97
5340.0 0.97
5350.0 0.97
5360.0 0.97
5370.0 0.97
5380.0 0.97
5390.0 0.97
5400.0 0.97
5410.0 0.97
5420.0 0.97
5430.0 0.97
5440.0 0.97
5450.0 0.97
5460.0 0.97
5470.0 0.97
5480.0 0.97
5490.0 0.97
5500.0 0.97
5510.0 0.97
5520.0 0.97
5530.0 0.97
5540.0 0.97
5550.0 0.97
5560.0 0.97
5570.0 0.97
5580.0 0.97
5590.0 0.97
5600.0 0.97
5610.0 0.97
5620.0 0.97
5630.0 0.97
5640.0 0.97
5650.0 0.97
5660.0 0.97
5670.0 0.97
5680.0 0.97
5690.0 0.97
5700.0 0.97
5710.0 0.97
5720.0 0.97
5730.0 0.97
5740.0 0.97
5750.0 0.97
5760.0 0.97
5770.0 0.97
5780.0 0.97
5790.0 0.97
5800.0 0.97
5810.0 0.97
5820.0 0.97
5830.0 0.97
5840.0 0.97
5850.0 0.97
5860.0 0.97
5870.0 0.97
5880.0 0.97
5890.0 0.97
5900.0 0.97
5910.0 0.97
5920.0 0.97
5930.0 0.97
5940.0 0.97
5950.0 0.97
5960.0 0.97
5970.0 0.97
5980.0 0.97
5990.0 0.97
6000.0 0.97
6010.0 0.97
6020.0 0.97
6030.0 0.97
6040.0 0.97
6050.0 0.97
6060.0 0.97
6070.0 0.97
6080.0 0.97
6090.0 0.97
6100.0 0.97
6110.0 0.97
6120.0 0.97
6130.0 0.97
6140.0 0.97
6150.0 0.97
6160.0 0.97
6170.0 0.97
6180.0 0.97
6190.0 0.97
6200.0 0.97
6210.0 0.97
6220.0 0.97
6230.0 0.97
6240.0 0.97
6250.0 0.97
6260.0 0.97
6270.0 0.97
6280.0 0.97
6290.0 0.97
6300.0 0.97
6310.0 0.97
6320.0 0.97
6330.0 0.97
6340.0 0.97
6350.0 0.97
6360.0 0.97
6370.0 0.97
6380.0 0.97
6390.0 0.97
6400.0 0.97
6410.0 0.97
6420.0 0.97
6430.0 0.97
6440.0 0.97
6450.0 0.97
6460.0 0.97
6470.0 0.97
6480.0 0.97
6490.0 0.97
6500.0 0.97
6510.0 0.97
6520.0 0.97
6530.0 0.97
6540.0 0.97
6550.0 0.97
6560.0 0.97
6570.0 0.97
6580.0 0.97
6590.0 0.97
6600.0 0.97
6610.0 0.97
6620.0 0.97
6630.0 0.97
6640.0 0.97
6650.0 0.97
6660.0 0.97
6670.0 0.97
6680.0 0.97
6690.0 0.97
6700.0 0.97
6710.0 0.97
6720.0 0.97
6730.0 0.97
6740.0 0.97
6750.0 0.97
6760.0 0.97
6770.0 0.97
6780.0 0.97
6790.0 0.97
6800.0 0.97
6810.0 0.97
6820.0 0.97
6830.0 0.97
6840.0 0.97
6850.0 0.97
6860.0 0.97
6870.0 0.97
6880.0 0.97
6890.0 0.97
6900.0 0.97
6910.0 0.97
6920.0 0.97
6930.0 0.97
