
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.939522 62.095964      1.0    1.0 
 29.952043 62.116818      1.0    1.0 
 29.879892   62.0447      1.0    1.0 
 29.995569 62.145374      1.0    1.0 
 30.003064 62.171981      1.0    1.0 
 29.890662 62.114407      1.0    1.0 
 29.827055 62.028361      1.0    1.0 
 29.805203 61.990684      1.0    1.0 
 29.803487 62.020608      1.0    1.0 
 29.799682 62.030676      1.0    1.0 
 29.792064 61.993192      1.0    1.0 
 29.839549 62.102385      1.0    1.0 
 29.792559 62.030365      1.0    1.0 
 30.086146 62.219392      1.0    1.0 
  29.90773 62.161328      1.0    1.0 
 29.937942 62.177267      1.0    1.0 
 29.769935 62.048631      1.0    1.0 
 29.766234 62.048496      1.0    1.0 
 29.756216 61.988695      1.0    1.0 
 29.759499 62.038416      1.0    1.0 
 29.924777 62.189482      1.0    1.0 
 30.023188  62.22473      1.0    1.0 
 29.740206 61.986361      1.0    1.0 
 29.736552 62.008264      1.0    1.0 
 29.759607 62.076692      1.0    1.0 
 29.824539 62.147564      1.0    1.0 
 29.735728 61.966658      1.0    1.0 
 29.731594 62.016344      1.0    1.0 
  29.87683  62.18159      1.0    1.0 
 29.767178 62.099465      1.0    1.0 
 30.122534 62.257452      1.0    1.0 
 29.769124 62.111321      1.0    1.0 
 29.989211 62.231733      1.0    1.0 
 29.764612 62.124011      1.0    1.0 
 29.710172 61.960322      1.0    1.0 
 29.751645 62.115872      1.0    1.0 
 29.699186 62.035812      1.0    1.0 
  29.70623 62.056693      1.0    1.0 
 30.199176 62.282666      1.0    1.0 
 29.720651 62.094603      1.0    1.0 
 30.013791 62.255068      1.0    1.0 
 29.725742 62.104608      1.0    1.0 
 29.683848 61.982606      1.0    1.0 
 29.682086 62.003606      1.0    1.0 
 29.737314 62.138228      1.0    1.0 
 29.672079 62.044328      1.0    1.0 
 29.668431 61.966418      1.0    1.0 
 30.203041  62.29535      1.0    1.0 
 29.664576 61.983419      1.0    1.0 
 29.663232 61.987026      1.0    1.0 
 29.772999 62.171785      1.0    1.0 
 29.801639 62.192098      1.0    1.0 
 29.654797 62.024054      1.0    1.0 
 29.650928 61.987221      1.0    1.0 
 29.735218 62.154673      1.0    1.0 
 29.652579 62.045365      1.0    1.0 
 29.647444 62.033844      1.0    1.0 
 30.094594 62.293104      1.0    1.0 
  30.07329 62.294348      1.0    1.0 
 29.898687 62.250899      1.0    1.0 
  29.64795 61.934623      1.0    1.0 
 29.745266 62.177438      1.0    1.0 
 29.639309 61.935552      1.0    1.0 
  29.66613 61.888724      1.0    1.0 
 29.630351 61.932985      1.0    1.0 
 29.630127 61.928512      1.0    1.0 
 29.615674 61.967104      1.0    1.0 
 29.613592 62.033336      1.0    1.0 
 30.091969 62.309389      1.0    1.0 
 29.824206 62.237271      1.0    1.0 
 30.208784 62.324542      1.0    1.0 
 29.618835 61.928981      1.0    1.0 
 29.636012 62.113871      1.0    1.0 
 29.672779 62.154829      1.0    1.0 
 29.702707 62.179332      1.0    1.0 
 29.613462  62.08359      1.0    1.0 
 30.111301 62.322395      1.0    1.0 
 29.618954 61.901788      1.0    1.0 
 29.607843 62.084292      1.0    1.0 
 29.596245 61.943977      1.0    1.0 
 29.877893 62.271418      1.0    1.0 
   29.5949 61.946527      1.0    1.0 
 29.605161 61.912451      1.0    1.0 
 29.586864 61.947471      1.0    1.0 
 29.966544 62.302611      1.0    1.0 
 29.668051 62.169531      1.0    1.0 
 29.570612 62.002983      1.0    1.0 
 29.632303 62.141127      1.0    1.0 
 29.573582  62.05102      1.0    1.0 
 29.954532 62.307427      1.0    1.0 
 29.638265 62.163324      1.0    1.0 
 29.595193 62.122055      1.0    1.0 
 29.578997 61.903402      1.0    1.0 
 29.553108 61.964784      1.0    1.0 
 29.593661 61.881646      1.0    1.0 
 30.044678 62.335334      1.0    1.0 
 29.900838 62.303362      1.0    1.0 
  29.62957 62.171182      1.0    1.0 
 29.594288  61.86513      1.0    1.0 
 29.704048 62.229567      1.0    1.0 
 30.142541 62.358608      1.0    1.0 
 29.552606 61.888208      1.0    1.0 
  29.74376 62.261754      1.0    1.0 
 30.058022 62.352651      1.0    1.0 
 29.594678 61.835876      1.0    1.0 
 29.533673 61.911161      1.0    1.0 
 30.031107 62.349445      1.0    1.0 
 29.507587 61.992557      1.0    1.0 
 29.512289 61.952412      1.0    1.0 
 30.072652 62.359437      1.0    1.0 
 29.687783 62.243697      1.0    1.0 
 29.544778 62.130948      1.0    1.0 
 29.501811 61.956109      1.0    1.0 
 29.564839  61.84831      1.0    1.0 
 29.493054 61.983914      1.0    1.0 
 30.043097 62.360511      1.0    1.0 
 29.492939 62.038419      1.0    1.0 
 29.554668 62.154935      1.0    1.0 
 29.501252 62.083962      1.0    1.0 
 30.060524 62.367701      1.0    1.0 
 29.613451 62.212382      1.0    1.0 
 29.502821 61.909872      1.0    1.0 
 29.557149 61.833483      1.0    1.0 
 29.502023 61.897631      1.0    1.0 
 29.496744 62.099455      1.0    1.0 
  29.47192 62.060224      1.0    1.0 
 29.564744 62.189907      1.0    1.0 
 30.124662 62.384655      1.0    1.0 
 30.124424 62.385217      1.0    1.0 
 29.566973 61.810206      1.0    1.0 
 29.634673 62.242855      1.0    1.0 
 30.056823 62.378122      1.0    1.0 
 29.687618 62.273916      1.0    1.0 
 29.567901 61.803749      1.0    1.0 
 29.461977 62.055198      1.0    1.0 
 29.487617 61.891391      1.0    1.0 
 30.315458 62.397241      1.0    1.0 
 29.487965 62.114786      1.0    1.0 
 30.196837 62.394645      1.0    1.0 
 29.519493 61.846727      1.0    1.0 
 29.753474 62.306166      1.0    1.0 
 30.045541 62.381567      1.0    1.0 
 29.449015 62.019846      1.0    1.0 
 29.730281 62.299803      1.0    1.0 
 29.502618 62.145787      1.0    1.0 
 30.135051 62.393807      1.0    1.0 
 30.152234  62.39547      1.0    1.0 
 29.975584 62.372375      1.0    1.0 
 29.516324 62.165547      1.0    1.0 
 29.476914 61.887638      1.0    1.0 
 29.523195 61.830296      1.0    1.0 
 29.488686 61.869522      1.0    1.0 
 29.440643 61.987574      1.0    1.0 
 29.816633 62.335071      5.0    1.0 
 29.480898 62.129036      1.0    1.0 
 29.471479  62.12358      1.0    1.0 
 29.430767 62.009382      1.0    1.0 
 29.647757 62.272304      1.0    1.0 
 29.465695 62.120298      1.0    1.0 
 29.831662 62.346808      1.0    1.0 
 29.509662 61.827821      1.0    1.0 
 30.353981 62.409365      1.0    1.0 
 30.101809 62.400918      1.0    1.0 
 29.424347 62.029787      1.0    1.0 
 29.458979 62.121332      1.0    1.0 
 29.491704 61.838567      1.0    1.0 
 30.302404    62.416      1.0    1.0 
 29.916268 62.376045      1.0    1.0 
 29.428203 61.921974      1.0    1.0 
 29.409952 62.031012      1.0    1.0 
 29.532687 61.787899      1.0    1.0 
 29.408236 61.982349      1.0    1.0 
 29.429825 62.100718      1.0    1.0 
 29.412855 62.058059      1.0    1.0 
 29.407486 61.958332      1.0    1.0 
 29.420792 61.917035      1.0    1.0 
 29.400027 62.011367      1.0    1.0 
 30.100628 62.412711      1.0    1.0 
  29.50344 62.204101      1.0    1.0 
 29.418122 61.901197      1.0    1.0 
 29.516902 62.218206      1.0    1.0 
 29.396185 62.047728      1.0    1.0 
 29.644505 62.297555      1.0    1.0 
 29.395547 61.956468      1.0    1.0 
 29.966934 62.398796      1.0    1.0 
 29.953425 62.396475      1.0    1.0 
 29.404333 62.090274      1.0    1.0 
 29.384507 61.990958      1.0    1.0 
 29.385506 61.961503      1.0    1.0 
 29.574707 62.266832      1.0    1.0 
 29.390064 61.934579      1.0    1.0 
 29.384601 62.054354      1.0    1.0 
 29.446081 62.167394      1.0    1.0 
 29.673782 62.320076      1.0    1.0 
 29.391183 61.925272      1.0    1.0 
 30.060186 62.419251      1.0    1.0 
 29.375697 61.983418      1.0    1.0 
 30.194595 62.431944      1.0    1.0 
 29.505888 62.226269      1.0    1.0 
 29.392113 62.090924      1.0    1.0 
 30.003038 62.412636      1.0    1.0 
 29.408781 61.877716      1.0    1.0 
 29.393229 61.902073      1.0    1.0 
 29.386237 62.095839      1.0    1.0 
 30.151221 62.434375      1.0    1.0 
 29.397973 62.125146      1.0    1.0 
 29.431251 61.834903      1.0    1.0 
 30.044822 62.425514      1.0    1.0 
 30.245019 62.441599      1.0    1.0 
 29.729031 62.353213      1.0    1.0 
 29.736331 62.355941      1.0    1.0 
 29.383297 61.896016      1.0    1.0 
 29.403887 62.149824      1.0    1.0 
 30.262906  62.44556      1.0    1.0 
 29.438649 61.814478      1.0    1.0 
 30.280656 62.446699      1.0    1.0 
 30.269087 62.447811      1.0    1.0 
 29.381299 61.880679      1.0    1.0 
 30.085632 62.437135      1.0    1.0 
 29.344049 61.979795      1.0    1.0 
 30.256962 62.450461      1.0    1.0 
 29.381468 62.138186      1.0    1.0 
 30.341249 62.452105      1.0    1.0 
 30.256322 62.452327      1.0    1.0 
 30.203722 62.450709      1.0    1.0 
 29.603671 62.318574      1.0    1.0 
 29.424504 62.198938      1.0    1.0 
  29.34477 62.084209      1.0    1.0 
 30.086954 62.446965      1.0    1.0 
 29.329157  62.04869      1.0    1.0 
 29.399811 61.822129      1.0    1.0 
 29.372323 61.855061      1.0    1.0 
 29.365174 61.864119      1.0    1.0 
 29.331341 61.929403      1.0    1.0 
 29.438296 62.227582      1.0    1.0 
 29.373391 61.841808      1.0    1.0 
 29.314227 61.965783      1.0    1.0 
 30.053691 62.450056      1.0    1.0 
 29.490897 62.269824      1.0    1.0 
 29.324147 62.081539      1.0    1.0 
 29.319119 61.937323      1.0    1.0 
 29.407751 61.800174      1.0    1.0 
 29.309027 62.033259      1.0    1.0 
 29.326169 61.908178      1.0    1.0 
 29.343262 62.136026      1.0    1.0 
 29.354721 61.852379      1.0    1.0 
 29.353227 61.854192      1.0    1.0 
 29.413951 61.782631      1.0    1.0 
 29.329066 62.124063      1.0    1.0 
 29.497028 62.286065      1.0    1.0 
 29.624764 62.351342      1.0    1.0 
 30.371709 62.471208      1.0    1.0 
 30.435376 62.468354      1.0    1.0 
 30.043829 62.457308      1.0    1.0 
 29.295952 61.966858      1.0    1.0 
 29.751642 62.397712      1.0    1.0 
 29.938857 62.442567      1.0    1.0 
 29.302629 62.074179      1.0    1.0 
 30.373242 62.472871      1.0    1.0 
 29.293544 61.963359      1.0    1.0 
 29.304725 61.916355      1.0    1.0 
