PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.148722,-0.991939,24.277963638305664,24.277963638305664,24.277963638305664,24.277963638305664,24.277963638305664,24.277963638305664,24.277963638305664,1.0,1.0,1.0,1.0,0.0
cosmo,178.289342,-0.990572,23.786705017089844,23.786705017089844,23.786705017089844,23.786705017089844,23.786705017089844,23.786705017089844,23.786705017089844,1.0,1.0,1.0,1.0,0.0
cosmo,178.049907,-0.990126,24.174938201904297,24.174938201904297,24.174938201904297,24.174938201904297,24.174938201904297,24.174938201904297,24.174938201904297,1.0,1.0,1.0,1.0,0.0
cosmo,178.102655,-0.990046,23.483814239501953,23.483814239501953,23.483814239501953,23.483814239501953,23.483814239501953,23.483814239501953,23.483814239501953,1.0,1.0,1.0,1.0,0.0
cosmo,178.189522,-0.987528,24.319250106811523,24.319250106811523,24.319250106811523,24.319250106811523,24.319250106811523,24.319250106811523,24.319250106811523,1.0,1.0,1.0,1.0,0.0
cosmo,178.280353,-0.987502,24.10331153869629,24.10331153869629,24.10331153869629,24.10331153869629,24.10331153869629,24.10331153869629,24.10331153869629,1.0,1.0,1.0,1.0,0.0
cosmo,178.467594,-0.986369,23.128589630126953,23.128589630126953,23.128589630126953,23.128589630126953,23.128589630126953,23.128589630126953,23.128589630126953,1.0,1.0,1.0,1.0,0.0
cosmo,178.07694,-0.986232,23.845827102661133,23.845827102661133,23.845827102661133,23.845827102661133,23.845827102661133,23.845827102661133,23.845827102661133,1.0,1.0,1.0,1.0,0.0
cosmo,178.099607,-0.983951,24.16311264038086,24.16311264038086,24.16311264038086,24.16311264038086,24.16311264038086,24.16311264038086,24.16311264038086,1.0,1.0,1.0,1.0,0.0
cosmo,178.445642,-0.982749,23.495323181152344,23.495323181152344,23.495323181152344,23.495323181152344,23.495323181152344,23.495323181152344,23.495323181152344,1.0,1.0,1.0,1.0,0.0
cosmo,178.241394,-0.982385,24.39852523803711,24.39852523803711,24.39852523803711,24.39852523803711,24.39852523803711,24.39852523803711,24.39852523803711,1.0,1.0,1.0,1.0,0.0
cosmo,178.328991,-0.980217,24.254974365234375,24.254974365234375,24.254974365234375,24.254974365234375,24.254974365234375,24.254974365234375,24.254974365234375,1.0,1.0,1.0,1.0,0.0
cosmo,178.472116,-0.979074,23.25346565246582,23.25346565246582,23.25346565246582,23.25346565246582,23.25346565246582,23.25346565246582,23.25346565246582,1.0,1.0,1.0,1.0,0.0
cosmo,178.278375,-0.976849,23.003170013427734,23.003170013427734,23.003170013427734,23.003170013427734,23.003170013427734,23.003170013427734,23.003170013427734,1.0,1.0,1.0,1.0,0.0
cosmo,178.099705,-0.976419,23.69717788696289,23.69717788696289,23.69717788696289,23.69717788696289,23.69717788696289,23.69717788696289,23.69717788696289,1.0,1.0,1.0,1.0,0.0
cosmo,178.07262,-0.976127,23.729673385620117,23.729673385620117,23.729673385620117,23.729673385620117,23.729673385620117,23.729673385620117,23.729673385620117,1.0,1.0,1.0,1.0,0.0
cosmo,178.159244,-0.975735,24.356048583984375,24.356048583984375,24.356048583984375,24.356048583984375,24.356048583984375,24.356048583984375,24.356048583984375,1.0,1.0,1.0,1.0,0.0
cosmo,178.06407,-0.974991,23.35106086730957,23.35106086730957,23.35106086730957,23.35106086730957,23.35106086730957,23.35106086730957,23.35106086730957,1.0,1.0,1.0,1.0,0.0
cosmo,178.079147,-0.974606,24.382509231567383,24.382509231567383,24.382509231567383,24.382509231567383,24.382509231567383,24.382509231567383,24.382509231567383,1.0,1.0,1.0,1.0,0.0
cosmo,178.45831,-0.972804,23.478456497192383,23.478456497192383,23.478456497192383,23.478456497192383,23.478456497192383,23.478456497192383,23.478456497192383,1.0,1.0,1.0,1.0,0.0
cosmo,178.051594,-0.972019,23.703271865844727,23.703271865844727,23.703271865844727,23.703271865844727,23.703271865844727,23.703271865844727,23.703271865844727,1.0,1.0,1.0,1.0,0.0
cosmo,178.241591,-0.971227,23.746360778808594,23.746360778808594,23.746360778808594,23.746360778808594,23.746360778808594,23.746360778808594,23.746360778808594,1.0,1.0,1.0,1.0,0.0
cosmo,178.201659,-0.970694,23.464468002319336,23.464468002319336,23.464468002319336,23.464468002319336,23.464468002319336,23.464468002319336,23.464468002319336,1.0,1.0,1.0,1.0,0.0
cosmo,178.499198,-0.970486,23.74862289428711,23.74862289428711,23.74862289428711,23.74862289428711,23.74862289428711,23.74862289428711,23.74862289428711,1.0,1.0,1.0,1.0,0.0
cosmo,178.235657,-0.969454,24.40875244140625,24.40875244140625,24.40875244140625,24.40875244140625,24.40875244140625,24.40875244140625,24.40875244140625,1.0,1.0,1.0,1.0,0.0
cosmo,178.443339,-0.968177,24.255067825317383,24.255067825317383,24.255067825317383,24.255067825317383,24.255067825317383,24.255067825317383,24.255067825317383,1.0,1.0,1.0,1.0,0.0
cosmo,178.114761,-0.96782,23.546981811523438,23.546981811523438,23.546981811523438,23.546981811523438,23.546981811523438,23.546981811523438,23.546981811523438,1.0,1.0,1.0,1.0,0.0
cosmo,178.098232,-0.966944,24.49671173095703,24.49671173095703,24.49671173095703,24.49671173095703,24.49671173095703,24.49671173095703,24.49671173095703,1.0,1.0,1.0,1.0,0.0
cosmo,178.218273,-0.964333,24.060884475708008,24.060884475708008,24.060884475708008,24.060884475708008,24.060884475708008,24.060884475708008,24.060884475708008,1.0,1.0,1.0,1.0,0.0
cosmo,178.218162,-0.964135,24.08339500427246,24.08339500427246,24.08339500427246,24.08339500427246,24.08339500427246,24.08339500427246,24.08339500427246,1.0,1.0,1.0,1.0,0.0
cosmo,178.450855,-0.963312,24.363908767700195,24.363908767700195,24.363908767700195,24.363908767700195,24.363908767700195,24.363908767700195,24.363908767700195,1.0,1.0,1.0,1.0,0.0
cosmo,178.438849,-0.961978,24.026437759399414,24.026437759399414,24.026437759399414,24.026437759399414,24.026437759399414,24.026437759399414,24.026437759399414,1.0,1.0,1.0,1.0,0.0
cosmo,178.436205,-0.96189,24.06928062438965,24.06928062438965,24.06928062438965,24.06928062438965,24.06928062438965,24.06928062438965,24.06928062438965,1.0,1.0,1.0,1.0,0.0
cosmo,178.070453,-0.96021,23.57883644104004,23.57883644104004,23.57883644104004,23.57883644104004,23.57883644104004,23.57883644104004,23.57883644104004,1.0,1.0,1.0,1.0,0.0
cosmo,178.091867,-0.95971,23.947683334350586,23.947683334350586,23.947683334350586,23.947683334350586,23.947683334350586,23.947683334350586,23.947683334350586,1.0,1.0,1.0,1.0,0.0
cosmo,178.073259,-0.959032,24.243314743041992,24.243314743041992,24.243314743041992,24.243314743041992,24.243314743041992,24.243314743041992,24.243314743041992,1.0,1.0,1.0,1.0,0.0
cosmo,178.193117,-0.95893,23.776689529418945,23.776689529418945,23.776689529418945,23.776689529418945,23.776689529418945,23.776689529418945,23.776689529418945,1.0,1.0,1.0,1.0,0.0
cosmo,178.058805,-0.958664,24.268930435180664,24.268930435180664,24.268930435180664,24.268930435180664,24.268930435180664,24.268930435180664,24.268930435180664,1.0,1.0,1.0,1.0,0.0
cosmo,178.36365,-0.958594,23.48841094970703,23.48841094970703,23.48841094970703,23.48841094970703,23.48841094970703,23.48841094970703,23.48841094970703,1.0,1.0,1.0,1.0,0.0
cosmo,178.423861,-0.958445,23.998939514160156,23.998939514160156,23.998939514160156,23.998939514160156,23.998939514160156,23.998939514160156,23.998939514160156,1.0,1.0,1.0,1.0,0.0
cosmo,178.180061,-0.956876,23.299837112426758,23.299837112426758,23.299837112426758,23.299837112426758,23.299837112426758,23.299837112426758,23.299837112426758,1.0,1.0,1.0,1.0,0.0
cosmo,178.298986,-0.956706,24.22178840637207,24.22178840637207,24.22178840637207,24.22178840637207,24.22178840637207,24.22178840637207,24.22178840637207,1.0,1.0,1.0,1.0,0.0
cosmo,178.017738,-0.954711,23.501352310180664,23.501352310180664,23.501352310180664,23.501352310180664,23.501352310180664,23.501352310180664,23.501352310180664,1.0,1.0,1.0,1.0,0.0
cosmo,178.175792,-0.954438,24.278411865234375,24.278411865234375,24.278411865234375,24.278411865234375,24.278411865234375,24.278411865234375,24.278411865234375,1.0,1.0,1.0,1.0,0.0
cosmo,178.461549,-0.954239,24.20526123046875,24.20526123046875,24.20526123046875,24.20526123046875,24.20526123046875,24.20526123046875,24.20526123046875,1.0,1.0,1.0,1.0,0.0
cosmo,178.200285,-0.952825,24.162635803222656,24.162635803222656,24.162635803222656,24.162635803222656,24.162635803222656,24.162635803222656,24.162635803222656,1.0,1.0,1.0,1.0,0.0
cosmo,178.199614,-0.952841,24.35044288635254,24.35044288635254,24.35044288635254,24.35044288635254,24.35044288635254,24.35044288635254,24.35044288635254,1.0,1.0,1.0,1.0,0.0
cosmo,178.209185,-0.952846,23.73252296447754,23.73252296447754,23.73252296447754,23.73252296447754,23.73252296447754,23.73252296447754,23.73252296447754,1.0,1.0,1.0,1.0,0.0
cosmo,178.244929,-0.950658,23.259885787963867,23.259885787963867,23.259885787963867,23.259885787963867,23.259885787963867,23.259885787963867,23.259885787963867,1.0,1.0,1.0,1.0,0.0
cosmo,178.215632,-0.950218,24.331331253051758,24.331331253051758,24.331331253051758,24.331331253051758,24.331331253051758,24.331331253051758,24.331331253051758,1.0,1.0,1.0,1.0,0.0
cosmo,178.141179,-0.950017,23.20089340209961,23.20089340209961,23.20089340209961,23.20089340209961,23.20089340209961,23.20089340209961,23.20089340209961,1.0,1.0,1.0,1.0,0.0
cosmo,178.388134,-0.949439,23.537778854370117,23.537778854370117,23.537778854370117,23.537778854370117,23.537778854370117,23.537778854370117,23.537778854370117,1.0,1.0,1.0,1.0,0.0
cosmo,178.442237,-0.949384,24.270130157470703,24.270130157470703,24.270130157470703,24.270130157470703,24.270130157470703,24.270130157470703,24.270130157470703,1.0,1.0,1.0,1.0,0.0
cosmo,178.052568,-0.94912,23.863637924194336,23.863637924194336,23.863637924194336,23.863637924194336,23.863637924194336,23.863637924194336,23.863637924194336,1.0,1.0,1.0,1.0,0.0
cosmo,178.482828,-0.946855,24.281269073486328,24.281269073486328,24.281269073486328,24.281269073486328,24.281269073486328,24.281269073486328,24.281269073486328,1.0,1.0,1.0,1.0,0.0
cosmo,178.414582,-0.946297,23.059900283813477,23.059900283813477,23.059900283813477,23.059900283813477,23.059900283813477,23.059900283813477,23.059900283813477,1.0,1.0,1.0,1.0,0.0
cosmo,178.086854,-0.945973,24.02339744567871,24.02339744567871,24.02339744567871,24.02339744567871,24.02339744567871,24.02339744567871,24.02339744567871,1.0,1.0,1.0,1.0,0.0
cosmo,178.092347,-0.945188,23.342063903808594,23.342063903808594,23.342063903808594,23.342063903808594,23.342063903808594,23.342063903808594,23.342063903808594,1.0,1.0,1.0,1.0,0.0
cosmo,178.085974,-0.945026,23.189380645751953,23.189380645751953,23.189380645751953,23.189380645751953,23.189380645751953,23.189380645751953,23.189380645751953,1.0,1.0,1.0,1.0,0.0
cosmo,178.130741,-0.944005,23.2183895111084,23.2183895111084,23.2183895111084,23.2183895111084,23.2183895111084,23.2183895111084,23.2183895111084,1.0,1.0,1.0,1.0,0.0
