RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
178.961166,-0.08916,23.69859504699707,23.69859504699707,23.69859504699707,23.69859504699707,23.69859504699707,23.69859504699707,23.69859504699707,1.0,1.0,1.0,1.0,0.0
178.974526,-0.078186,24.449914932250977,24.449914932250977,24.449914932250977,24.449914932250977,24.449914932250977,24.449914932250977,24.449914932250977,1.0,1.0,1.0,1.0,0.0
178.980183,-0.062247,23.354005813598633,23.354005813598633,23.354005813598633,23.354005813598633,23.354005813598633,23.354005813598633,23.354005813598633,1.0,1.0,1.0,1.0,0.0
178.98345,-0.05132,23.668001174926758,23.668001174926758,23.668001174926758,23.668001174926758,23.668001174926758,23.668001174926758,23.668001174926758,1.0,1.0,1.0,1.0,0.0
178.973016,-0.047124,23.477096557617188,23.477096557617188,23.477096557617188,23.477096557617188,23.477096557617188,23.477096557617188,23.477096557617188,1.0,1.0,1.0,1.0,0.0
178.981261,-0.030124,23.056058883666992,23.056058883666992,23.056058883666992,23.056058883666992,23.056058883666992,23.056058883666992,23.056058883666992,1.0,1.0,1.0,1.0,0.0
178.967785,-0.01109,24.303972244262695,24.303972244262695,24.303972244262695,24.303972244262695,24.303972244262695,24.303972244262695,24.303972244262695,1.0,1.0,1.0,1.0,0.0
178.983901,-0.007717,24.415586471557617,24.415586471557617,24.415586471557617,24.415586471557617,24.415586471557617,24.415586471557617,24.415586471557617,1.0,1.0,1.0,1.0,0.0
178.958468,0.000283,23.818912506103516,23.818912506103516,23.818912506103516,23.818912506103516,23.818912506103516,23.818912506103516,23.818912506103516,1.0,1.0,1.0,1.0,0.0
178.971156,0.002161,24.12375831604004,24.12375831604004,24.12375831604004,24.12375831604004,24.12375831604004,24.12375831604004,24.12375831604004,1.0,1.0,1.0,1.0,0.0
178.900027,0.005471,23.687023162841797,23.687023162841797,23.687023162841797,23.687023162841797,23.687023162841797,23.687023162841797,23.687023162841797,1.0,1.0,1.0,1.0,0.0
