PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.974526,-0.078186,24.946619033813477,24.24071502685547,24.192445755004883,24.530132293701172,23.86599349975586,22.44980812072754,21.728557586669922,10.0,1.0,1.0,1.0,0.0
cosmo,178.98345,-0.05132,24.319684982299805,23.479061126708984,23.500656127929688,22.796117782592773,22.59113311767578,22.208904266357422,21.892810821533203,10.0,1.0,1.0,1.0,0.0
cosmo,178.967785,-0.01109,24.26432228088379,23.96120834350586,24.32833480834961,nan,28.158674240112305,22.895465850830078,23.492168426513672,10.0,1.0,1.0,1.0,0.0
cosmo,178.983901,-0.007717,24.384939193725586,24.152719497680664,24.273330688476562,23.214736938476562,23.48162841796875,23.018848419189453,22.406404495239258,10.0,1.0,1.0,1.0,0.0
cosmo,178.958468,0.000283,24.724220275878906,23.927780151367188,23.862682342529297,23.665803909301758,23.126773834228516,22.803909301757812,24.501832962036133,10.0,1.0,1.0,1.0,0.0
cosmo,178.971156,0.002161,24.44305992126465,23.929218292236328,24.10906982421875,24.012714385986328,24.02615737915039,23.277463912963867,25.845613479614258,10.0,1.0,1.0,1.0,0.0
cosmo,178.900027,0.005471,24.288667678833008,23.868436813354492,23.877092361450195,23.332019805908203,22.87581443786621,22.69422149658203,21.956865310668945,10.0,1.0,1.0,1.0,0.0
cosmo,178.989287,0.007745,24.69217300415039,23.51903533935547,23.23725128173828,22.921825408935547,22.432302474975586,22.471908569335938,21.986251831054688,10.0,1.0,1.0,1.0,0.0
cosmo,178.992312,0.010781,24.306976318359375,23.246994018554688,23.261171340942383,22.823177337646484,22.596393585205078,22.10569190979004,21.67367935180664,10.0,1.0,1.0,1.0,0.0
cosmo,178.900186,0.019305,24.164026260375977,23.98835563659668,24.135303497314453,23.703092575073242,23.70985984802246,22.630041122436523,23.841861724853516,10.0,1.0,1.0,1.0,0.0
cosmo,178.937278,0.024264,24.967288970947266,23.94696807861328,23.80010223388672,23.24256706237793,22.906845092773438,22.617549896240234,23.399459838867188,10.0,1.0,1.0,1.0,0.0
cosmo,178.96844,0.031382,24.253894805908203,24.074541091918945,24.238611221313477,23.52806282043457,23.608505249023438,22.524654388427734,23.121017456054688,10.0,1.0,1.0,1.0,0.0
