Wavelength,Reflexion,Transmission,Vignetting,Total
0.36,0.729652654,0.787256944,0.91,0.522725948
0.3888,0.846330969,0.946842173,0.91,0.729221086
0.4176,0.936297256,0.968897125,0.91,0.825529904
0.4464,0.976236754,0.970232588,0.91,0.861930808
0.4752,0.972013538,0.97023131,0.91,0.858200951
0.504,0.952800717,0.981451757,0.91,0.850966423
0.5328,0.931927419,0.981450479,0.91,0.832322957
0.5616,0.915213932,0.981450479,0.91,0.817395808
0.5904,0.904372132,0.981449201,0.91,0.807711729
0.6192,0.899523554,0.981449201,0.91,0.803381373
0.648,0.899597595,0.981449201,0.91,0.803447501
0.6768,0.90264498,0.981447923,0.91,0.806168128
0.7056,0.90769978,0.981447923,0.91,0.810682658
0.7344,0.914503316,0.981447923,0.91,0.816759016
0.7632,0.921952699,0.981447923,0.91,0.823412192
0.792,0.929472397,0.981447923,0.91,0.830128166
0.8208,0.936559794,0.981447923,0.91,0.836458045
0.8496,0.942828087,0.981446645,0.91,0.842055272
0.8784,0.948044355,0.981446645,0.91,0.846714006
0.9072,0.95178684,0.980635144,0.91,0.849353618
0.936,0.953801796,0.977391693,0.91,0.848336537
0.9648,0.954626569,0.974158466,0.91,0.846261375
0.9936,0.954347783,0.970935463,0.91,0.843215197
1.0224,0.95304863,0.970219808,0.91,0.84144666
1.0512,0.950848471,0.970219808,0.91,0.839504139
1.08,0.947874785,0.970219808,0.91,0.836878672
1.1088,0.944240831,0.970219808,0.91,0.833670254
1.1376,0.940051597,0.970219808,0.91,0.829971579
1.1664,0.935407597,0.97021853,0.91,0.825870303
1.1952,0.930402235,0.97021853,0.91,0.821451075
1.224,0.925111678,0.967541214,0.91,0.814526145
1.2528,0.919606969,0.96433738,0.91,0.806998351
1.2816,0.913954124,0.96114377,0.91,0.799381594
1.3104,0.908207677,0.957959105,0.91,0.791723491
1.3392,0.902410431,0.954784665,0.91,0.784062953
1.368,0.896601166,0.951619169,0.91,0.7764328
1.3968,0.890810896,0.94846262,0.91,0.768859761
1.4256,0.885070465,0.945317572,0.91,0.761372124
1.4544,0.87939968,0.942180192,0.91,0.753983193
1.4832,0.873818807,0.939053035,0.91,0.746711605
1.512,0.868339351,0.935934824,0.91,0.739565225
1.5408,0.862975739,0.932826837,0.91,0.732556306
1.5696,0.857734045,0.929727796,0.91,0.725687856
1.5984,0.852624495,0.926638978,0.91,0.718968332
1.6272,0.847650611,0.90628115,0.91,0.699070891
1.656,0.842815231,0.885263889,0.91,0.678963639
1.6848,0.838121242,0.863720833,0.91,0.658751528
1.7136,0.833567381,0.842658333,0.91,0.639195375
1.7424,0.829155467,0.822068056,0.91,0.620276222
1.7712,0.824884785,0.801940278,0.91,0.601972583
1.8,0.820753511,0.782263889,0.91,0.584261708
