wave thr
1.45000000e+03 3.06222649e-01
1.45100000e+03 3.07732530e-01
1.45200000e+03 3.09232403e-01
1.45300000e+03 3.10722269e-01
1.45400000e+03 3.12202126e-01
1.45500000e+03 3.13671975e-01
1.45600000e+03 3.15131817e-01
1.45700000e+03 3.16581650e-01
1.45800000e+03 3.18021476e-01
1.45900000e+03 3.19451293e-01
1.46000000e+03 3.20871103e-01
1.46100000e+03 3.22280905e-01
1.46200000e+03 3.23680699e-01
1.46300000e+03 3.25070485e-01
1.46400000e+03 3.26450263e-01
1.46500000e+03 3.27820033e-01
1.46600000e+03 3.29179796e-01
1.46700000e+03 3.30529550e-01
1.46800000e+03 3.31869297e-01
1.46900000e+03 3.33199035e-01
1.47000000e+03 3.34518766e-01
1.47100000e+03 3.35828489e-01
1.47200000e+03 3.37128203e-01
1.47300000e+03 3.38417910e-01
1.47400000e+03 3.39697609e-01
1.47500000e+03 3.40967300e-01
1.47600000e+03 3.42226984e-01
1.47700000e+03 3.43476659e-01
1.47800000e+03 3.44716326e-01
1.47900000e+03 3.45945986e-01
1.48000000e+03 3.47165637e-01
1.48100000e+03 3.48375281e-01
1.48200000e+03 3.49574917e-01
1.48300000e+03 3.50764544e-01
1.48400000e+03 3.51944164e-01
1.48500000e+03 3.53113776e-01
1.48600000e+03 3.54273380e-01
1.48700000e+03 3.55422976e-01
1.48800000e+03 3.56562565e-01
1.48900000e+03 3.57692145e-01
1.49000000e+03 3.58811717e-01
1.49100000e+03 3.59921282e-01
1.49200000e+03 3.61020839e-01
1.49300000e+03 3.62110387e-01
1.49400000e+03 3.63189928e-01
1.49500000e+03 3.64259461e-01
1.49600000e+03 3.65318986e-01
1.49700000e+03 3.66368503e-01
1.49800000e+03 3.67408012e-01
1.49900000e+03 3.68437513e-01
1.50000000e+03 3.69457007e-01
1.50100000e+03 3.70466492e-01
1.50200000e+03 3.71465969e-01
1.50300000e+03 3.72455439e-01
1.50400000e+03 3.73434901e-01
1.50500000e+03 3.74404354e-01
1.50600000e+03 3.75363800e-01
1.50700000e+03 3.76313238e-01
