wave thr
1.00000000e+03 4.09545562e-01
1.00100000e+03 4.10252282e-01
1.00200000e+03 4.10951929e-01
1.00300000e+03 4.11644502e-01
1.00400000e+03 4.12330001e-01
1.00500000e+03 4.13008426e-01
1.00600000e+03 4.13679777e-01
1.00700000e+03 4.14344055e-01
1.00800000e+03 4.15001259e-01
1.00900000e+03 4.15651388e-01
1.01000000e+03 4.16294445e-01
1.01100000e+03 4.16930427e-01
1.01200000e+03 4.17559335e-01
1.01300000e+03 4.18181170e-01
1.01400000e+03 4.18795931e-01
1.01500000e+03 4.19403618e-01
1.01600000e+03 4.20004231e-01
1.01700000e+03 4.20597771e-01
1.01800000e+03 4.21184237e-01
1.01900000e+03 4.21763628e-01
1.02000000e+03 4.22335946e-01
1.02100000e+03 4.22901191e-01
1.02200000e+03 4.23459361e-01
1.02300000e+03 4.24010458e-01
1.02400000e+03 4.24554481e-01
1.02500000e+03 4.25091430e-01
1.02600000e+03 4.25621305e-01
1.02700000e+03 4.26144106e-01
1.02800000e+03 4.26659834e-01
1.02900000e+03 4.27168488e-01
1.03000000e+03 4.27670068e-01
1.03100000e+03 4.28164574e-01
1.03200000e+03 4.28652006e-01
1.03300000e+03 4.29132365e-01
1.03400000e+03 4.29605650e-01
1.03500000e+03 4.30071861e-01
1.03600000e+03 4.30530998e-01
1.03700000e+03 4.30983061e-01
1.03800000e+03 4.31428051e-01
1.03900000e+03 4.31865967e-01
1.04000000e+03 4.32296808e-01
1.04100000e+03 4.32720577e-01
1.04200000e+03 4.33137271e-01
1.04300000e+03 4.33546891e-01
1.04400000e+03 4.33949438e-01
1.04500000e+03 4.34344911e-01
1.04600000e+03 4.34733310e-01
1.04700000e+03 4.35114635e-01
1.04800000e+03 4.35488887e-01
1.04900000e+03 4.35856065e-01
1.05000000e+03 4.36216169e-01
1.05100000e+03 4.36569199e-01
1.05200000e+03 4.36915155e-01
1.05300000e+03 4.37254037e-01
1.05400000e+03 4.37585846e-01
1.05500000e+03 4.37910581e-01
1.05600000e+03 4.38228242e-01
