wave,att,
196.822,1.19723,
203.964,0.996167,
209.576,0.824261,
217.727,0.698406,
222.316,0.589431,
233.517,0.472787,
240.130,0.454375,
250.817,0.388384,
258.454,0.310110,
267.616,0.241047,
284.406,0.181202,
299.667,0.144378,
323.575,0.0968185,
347.481,0.0738176,
370.369,0.0554206,
397.325,0.0462369,
397.686,1.45222,
420.093,1.17136,
438.931,0.979508,
456.744,0.853662,
477.102,0.720143,
494.913,0.617321,
512.722,0.532917,
533.074,0.448516,
555.967,0.384071,
584.963,0.318098,
620.571,0.250595,
650.073,0.215321,
684.150,0.190795,
719.245,0.166269,
755.355,0.158630,
776.210,0.129486,
804.184,0.111094,
837.752,0.0973118,
883.017,0.0896806,
898.783,0.0896957,
937.943,0.0897333,
958.288,0.0805433,
980.666,0.0759600,
1027.46,0.0760049,
1044.75,0.0652770,
1085.43,0.0683859,
1137.31,0.0669007,
1149.52,0.0638426,
1161.21,0.0699935,
1178.51,0.0654053,
1199.87,0.0608211,
1222.75,0.0700525,
1244.62,0.0992370,
1251.23,0.125337,
1262.42,0.126883,
1272.59,0.106938,
1283.78,0.0869952,
1301.07,0.0747324,
1315.31,0.0747461,
1331.59,0.0839712,
1348.37,0.0931969,
1357.01,0.128508,
1365.64,0.249775,
1372.24,0.398669,
1378.85,0.426304,
1392.09,0.254405,
1399.22,0.200690,
1405.33,0.139299,
1414.99,0.108610,
1430.25,0.0825310,
1456.70,0.0672071,
1485.18,0.0610948,
1564.01,0.0627053,
1579.78,0.0657903,
1597.07,0.0704116,
1616.39,0.0796397,
1630.13,0.0811878,
1643.85,0.0996200,
1662.15,0.182523,
1672.33,0.188673,
1685.04,0.168731,
1700.81,0.153397,
1736.41,0.150361,
1757.77,0.168801,
1768.96,0.193370,
1777.09,0.225611,
1784.21,0.242502,
1797.42,0.325401,
1800.98,0.348428,
