wave skycount targetcount
3596.33 1.5030683753188725e-06 1.0193700117424708e-07
3597.286241857002 1.5010934041819993e-06 1.019674445420966e-07
3598.2421222241387 1.4990019123958137e-06 1.0199579952740053e-07
3599.1976412380645 1.4969818218131483e-06 1.0202621845655424e-07
3600.1527990353825 1.495291172761303e-06 1.0207579087184027e-07
3601.1075957526436 1.4953806995934542e-06 1.022386182604247e-07
3602.062031526348 1.4954817492689214e-06 1.0240218725551811e-07
3603.0161064929443 1.4954970594893385e-06 1.0256516084675857e-07
3603.969820788828 1.4955289146590537e-06 1.0272839238065483e-07
3604.9231745503453 1.495568267512682e-06 1.0289011357214396e-07
3605.876167913789 1.4956179979851803e-06 1.0305252953402185e-07
3606.8288010154006 1.4901789311607396e-06 1.0321712592332189e-07
3607.781073991371 1.4839872867730734e-06 1.0338340255193523e-07
3608.7329869778396 1.4778018078510148e-06 1.0355149508853148e-07
3609.684540110893 1.4715347000997977e-06 1.0371895021838628e-07
3610.635733526568 1.4653667274721763e-06 1.0388874521450074e-07
3611.5865673608487 1.4592123557112552e-06 1.0406042839582301e-07
3612.537041749669 1.4530132795462752e-06 1.0423146186181638e-07
3613.48715682891 1.4469032818857307e-06 1.0440786189999051e-07
3614.4369127344025 1.4407748707924056e-06 1.0458488480482127e-07
3615.386309601926 1.4345852055415166e-06 1.0476054523300296e-07
3616.3353475672075 2.466841915502128e-06 1.0493738354004922e-07
3617.284026765924 1.450400327087167e-06 1.0511547712330531e-07
3618.2323473337 1.4727595357900126e-06 1.0529413171910368e-07
3619.18030940611 1.4798348337059925e-06 1.054726842438788e-07
3620.127913118677 1.494562046527541e-06 1.0565084829589077e-07
3621.075158606872 1.5094028501174742e-06 1.0582910734686522e-07
3622.022046006115 1.5242824195525234e-06 1.0600762672317929e-07
3622.9685754517755 2.1199137630007965e-06 1.0618610259951115e-07
3623.914747079171 1.5542010374871275e-06 1.0636489712250478e-07
3624.860561023568 1.5691542880905215e-06 1.0654212213007297e-07
3625.806017420183 1.5840868731818554e-06 1.0671692517418734e-07
3626.751116404179 1.5893955572726375e-06 1.0689141529899103e-07
3627.6958581106705 1.59231116439857e-06 1.0706782105993092e-07
3628.6402426747195 1.5951485673171716e-06 1.0724469075078543e-07
3629.584270231337 1.59792429235173e-06 1.0741895143994282e-07
3630.527940915483 1.6006346358259024e-06 1.0759045108338041e-07
3631.4712548620673 1.6033260109826305e-06 1.0776110641994278e-07
3632.414212205948 1.6060245252297203e-06 1.0793199511955915e-07
3633.3568130819317 2.458783265123589e-06 1.0810285718968867e-07
3634.299057624775 1.7373517077010078e-06 1.0827367976114667e-07
3635.240945969183 1.613999323270014e-06 1.0844451497036206e-07
3636.18247824981 1.617060306259948e-06 1.0861545635977662e-07
3637.12365460126 2.949144473917323e-06 1.0878287505741897e-07
3638.064475158085 1.930018483702256e-06 1.0895098572061871e-07
3639.0049400547864 1.6304234341116366e-06 1.0912142637415646e-07
3639.945049425816 1.6348349662194906e-06 1.0928686041369777e-07
3640.8848034055727 1.6391562437747797e-06 1.0945146748333802e-07
3641.824202128407 1.6434760553369358e-06 1.0961573383936345e-07
3642.7632457286163 1.6478642542923757e-06 1.097800453409024e-07
3643.7019343404486 2.0754283173040054e-06 1.0994425526733713e-07
3644.640268098101 1.6566034788906298e-06 1.101084622737026e-07
3645.5782471357193 1.6609491682492817e-06 1.1027261836321047e-07
3646.515871587399 1.8453467379844191e-06 1.1043596646291021e-07
3647.453141587185 1.6896997446874486e-06 1.1059939806543737e-07
3648.390057269072 1.7070910506605282e-06 1.1076390066810321e-07
3649.3266187670024 1.7246953405019899e-06 1.1093138989237136e-07
3650.2628262148696 1.7422597640194345e-06 1.1110013172856623e-07
3651.1986797465156 1.759880600704218e-06 1.1127286139589509e-07
3652.134179495732 1.7774830972131858e-06 1.1144304355795429e-07
3653.06932559626 1.7951196547420548e-06 1.1161269215725837e-07
3654.00411818179 1.8130833392171514e-06 1.1178883189248761e-07
3654.938557385962 1.8310901813562368e-06 1.1196438108672794e-07
3655.8726433423653 1.8489599083693693e-06 1.1213442604114971e-07
3656.8063761845387 1.8612090087938716e-06 1.1230329364262142e-07
3657.739756045971 1.872599957077678e-06 1.124718482796159e-07
3658.6727830600994 1.8840652595861582e-06 1.1264209468165414e-07
3659.6054573603124 1.8955252085765851e-06 1.1281292014668458e-07
3660.537779079946 1.9069898425004833e-06 1.1298312830873058e-07
3661.469748352288 1.918422929705654e-06 1.1315126654677148e-07
3662.4013653105744 1.929885599534542e-06 1.1331951749668546e-07
3663.3326300879903 1.9413744307467954e-06 1.13487759263611e-07
3664.2635428176723 1.952888591451013e-06 1.136559623871091e-07
3665.194103632705 1.9644280800891735e-06 1.1382412677741181e-07
3666.1243126661234 1.9741131147025624e-06 1.1399207336606844e-07
3667.0541700509125 1.971661834545704e-06 1.1416038619148209e-07
3667.9836759200066 1.969328260140717e-06 1.1433219655936804e-07
3668.9128304062897 1.9670231456553074e-06 1.145022981496163e-07
3669.8416336425958 1.9645331695447882e-06 1.1467051187171092e-07
3670.7700857617083 1.9899554874650202e-06 1.1483843204321973e-07
3671.6981868963608 1.9594769194217422e-06 1.150063138552528e-07
3672.6259371792366 1.9569262233594242e-06 1.1517417166870515e-07
3673.553336742969 1.9543601667288397e-06 1.1534198953105711e-07
3674.480385720141 2.3932142652537658e-06 1.1550976713149647e-07
3675.407084243285 1.949181959393573e-06 1.1567750434575641e-07
3676.3334324448847 1.9458017047552115e-06 1.1584520105577831e-07
3677.259430457372 1.9401210523634974e-06 1.1601285711393422e-07
3678.18507841313 1.9344163466326102e-06 1.1618047239981571e-07
3679.110376444491 1.9286875889052586e-06 1.1634804675307944e-07
3680.0353246837376 1.922934783653451e-06 1.1651558012650921e-07
3680.959923263102 1.917157928963197e-06 1.166830722404166e-07
3681.8841723147675 1.9113570329727703e-06 1.1685052318179959e-07
3682.8080719708664 1.9055320919404518e-06 1.1701793260218255e-07
3683.731622363481 1.899683106600889e-06 1.1718530031473795e-07
3684.654823624645 1.8938100850731265e-06 1.1735262640728921e-07
3685.57767588634 1.8879130263153146e-06 1.1751991062739945e-07
3686.5001792804997 1.891848643765032e-06 1.1768715273475896e-07
3687.422333939007 1.9086686918520707e-06 1.1785435281122202e-07
3688.3441399936946 1.9255284621249015e-06 1.1802151069586993e-07
3689.2655975763464 1.9424279407547787e-06 1.1818862595113847e-07
3690.1867068186957 1.9592098243502967e-06 1.1835569890219199e-07
3691.107467852426 1.9754118205999313e-06 1.1852272905771216e-07
3692.0278808091716 1.9916519707192627e-06 1.1868971657016394e-07
3692.947945820517 2.007930261651574e-06 1.188566609883842e-07
3693.8676690439866 2.0242468078174547e-06 1.1902356368543636e-07
3694.7871011675866 2.0406024942408512e-06 1.1919043327679225e-07
3695.706242283453 2.0569973356034895e-06 1.1935727003033935e-07
3696.6250924836913 2.0597530096710837e-06 1.1952407352420765e-07
3697.543651860379 2.052239273760023e-06 1.1969084370175308e-07
3698.4619205055646 2.044697121834519e-06 1.198575804233957e-07
3699.3798985112667 2.0371265588966068e-06 1.200242837703376e-07
3700.2975859694748 2.029492609823095e-06 1.201890606038528e-07
3701.2149829721498 2.0217578973247434e-06 1.2034985126297152e-07
3702.132089611223 2.01399553120868e-06 1.2051059440857843e-07
3703.048905978597 2.006205518867255e-06 1.2067129000679284e-07
3703.965432166145 2.412605607279332e-06 1.2083193797287585e-07
3704.8816682657116 2.0408794952176367e-06 1.2099253827195078e-07
3705.7976143691117 1.982669637475571e-06 1.2115309059347134e-07
3706.7132705681315 1.9853754707325804e-06 1.2131359507557944e-07
3707.6286369545282 1.991095177063501e-06 1.214740514100811e-07
3708.54371362003 2.6421116701439493e-06 1.2163445969000465e-07
3709.458500656335 2.0025613361181793e-06 1.21794819459799e-07
3710.372998155114 2.4477701869906657e-06 1.2195513088155704e-07
3711.2872062080082 2.0140631588789956e-06 1.2211539371988322e-07
3712.201124906629 2.2590292199344587e-06 1.2227560793706792e-07
3713.1147543425595 2.02560064454897e-06 1.2243577354301408e-07
3714.028094607354 2.0313827590751708e-06 1.2259589018366313e-07
3714.941145792537 2.037173789905668e-06 1.2275595789156932e-07
3715.853907989605 2.2090652991992918e-06 1.2291597664959982e-07
3716.766381290025 2.0360333334903603e-06 1.2307594603470148e-07
3717.678565785235 2.024354418451034e-06 1.2323586632339405e-07
3718.5904615666445 2.0126382743422938e-06 1.2339573713801603e-07
3719.5020687256333 2.000884912091514e-06 1.2355555863380139e-07
3720.413387353553 1.989094316372192e-06 1.237153303514468e-07
3721.324417541726 1.9772664993166737e-06 1.238750525168132e-07
3722.2351593814456 1.9654014688832683e-06 1.2403472481972523e-07
3723.145612963977 1.953499230387139e-06 1.2419434720750965e-07
3724.0557783805552 1.9415597973915744e-06 1.243539199459273e-07
3724.9656557223875 1.9295831374769882e-06 1.2451344222654152e-07
3725.875245080652 1.9175692773699805e-06 1.2467291430487818e-07
3726.7845465464975 1.9042054147319064e-06 1.2483233618180796e-07
3727.6935602110448 1.8903694287267047e-06 1.2499170785943953e-07
3728.6022861653846 1.8764916980311123e-06 1.2515102889294023e-07
3729.51072450058 1.8625722358254907e-06 1.2531029929605633e-07
3730.418875307665 1.8486110610425816e-06 1.2546951911759215e-07
3731.3267386776442 1.8345619468441075e-06 1.2562868813794239e-07
3732.234314701494 1.8204685074454286e-06 1.2578780612957338e-07
3733.1416034701615 1.8063344725650884e-06 1.259468732669959e-07
3734.0486050745653 1.7921598539565517e-06 1.261058893162543e-07
3734.955319605596 1.777951945524971e-06 1.2626516982912366e-07
3735.8617471541133 2.4892132827770044e-06 1.2642289490762845e-07
3736.7678878109505 2.0708072201350912e-06 1.265785612685809e-07
3737.673741666911 1.7582211774322748e-06 1.2673779572894356e-07
3738.57930881277 1.7573728457249443e-06 1.26897453356901e-07
3739.4845893392726 2.4143364503670844e-06 1.270555522858628e-07
3740.3895833371366 3.1276057558502395e-06 1.2721237231657628e-07
3741.294290897051 1.754629356425915e-06 1.2736922024733223e-07
3742.198712109675 2.8299427652579806e-06 1.27527842973709e-07
3743.10284706564 1.7528313988761666e-06 1.276864089451622e-07
3744.0066958555494 1.7519200519708117e-06 1.278448485551318e-07
3744.910258569976 2.2694063715769897e-06 1.2800323606861107e-07
3745.813535299466 1.7500760898895584e-06 1.281615711213942e-07
3746.716526134535 1.7637872760883785e-06 1.283198540538879e-07
3747.6192311656714 3.4376610789357874e-06 1.2847820108617105e-07
3748.5216504833347 1.80492981591256e-06 1.2863601826326914e-07
3749.423784177955 1.8255450223158994e-06 1.2879298724383647e-07
3750.3256323399346 1.8462322818894101e-06 1.2894989880194414e-07
3751.227195059647 1.9772394199462085e-06 1.2911157518697873e-07
3752.1284724274365 1.8881344066516655e-06 1.292759506797178e-07
3753.02946453362 1.9091798193568283e-06 1.2943990051902037e-07
3753.930171468485 1.9301324900651553e-06 1.2960251508263517e-07
3754.83059332229 1.951115080044862e-06 1.2976215172127228e-07
3755.730730185266 1.972265984850055e-06 1.2992466111820721e-07
3756.630582147615 1.9838214850529475e-06 1.3008823381223272e-07
3757.5301492995095 1.9885529015515574e-06 1.3024747396015077e-07
3758.429431731095 1.9933526044291106e-06 1.304091058698735e-07
3759.328429532488 2.3563977604011776e-06 1.3057325355708243e-07
3760.227142793776 2.3621654211050103e-06 1.3073284188119904e-07
3761.1255716050177 2.0076144487585133e-06 1.308934517526044e-07
3762.0237160562447 2.0125006188793067e-06 1.3105732707362268e-07
3762.921576237459 2.017310893424626e-06 1.3121796563983483e-07
3763.8191522386337 2.022090302526861e-06 1.313771269090699e-07
3764.716444149715 2.0268275386815354e-06 1.315363000973703e-07
3765.6134520606192 2.0315000902592646e-06 1.3169540226259603e-07
3766.510176061235 2.045837956293678e-06 1.3185446617993265e-07
3767.4066162414224 2.0715321886021797e-06 1.3201344297175185e-07
3768.3027726910123 2.097257687527763e-06 1.3217250480373472e-07
3769.198645499808 2.1229396248036574e-06 1.323316345871617e-07
3770.0942347575847 2.1487794467154462e-06 1.3249077476877914e-07
3770.989540554088 2.1746069745991305e-06 1.326484930198026e-07
3771.8845629790353 2.2003378087165173e-06 1.328036113405796e-07
3772.7793021221164 2.226293154843857e-06 1.3296029101585192e-07
3773.6737580729928 2.2522388402763683e-06 1.3311749485645527e-07
3774.5679309212965 2.3324169380928138e-06 1.3327315622904355e-07
3775.461820756632 2.3041029247790138e-06 1.334295330616134e-07
3776.355427668575 2.4504907174842824e-06 1.3358666433964855e-07
3777.2487517466734 2.332335825970129e-06 1.3374265636350965e-07
3778.1417930804464 2.3396543911939325e-06 1.3389771285907758e-07
3779.0345517593846 2.34709671175677e-06 1.3405179493659608e-07
3779.9270278729505 2.354464473935014e-06 1.3420555738216606e-07
3780.8192215105787 2.3617771416389254e-06 1.343592735566113e-07
3781.711132761675 2.3691109497867197e-06 1.3451332313275893e-07
3782.602761715617 3.207224032591478e-06 1.3466692237436035e-07
3783.494108461754 2.3838278333041153e-06 1.3482037845196456e-07
3784.385173089407 2.391381711422884e-06 1.3497563591893088e-07
3785.275955687869 2.3988341911857436e-06 1.3513158080763901e-07
3786.166456346404 2.403490192966924e-06 1.3528776948113843e-07
3787.056675154249 2.3733467524478157e-06 1.3544208094126378e-07
3787.946612200612 2.343251253975646e-06 1.3559558990197318e-07
3788.836267574672 2.313030986628861e-06 1.357503578825253e-07
3789.7256413655814 2.282712748061137e-06 1.3590575625923273e-07
3790.614784141315 2.2523394259821573e-06 1.3606156760705793e-07
3791.5037682473117 2.2219696642032237e-06 1.362161613851566e-07
3792.392593711887 2.6500293250515936e-06 1.363716626210561e-07
3793.2812605633508 2.1609957956109613e-06 1.3652970772112318e-07
3794.169768830008 2.130506798569393e-06 1.366873594538261e-07
3795.058118540158 2.0999351398381625e-06 1.368446549318577e-07
3795.9463097220964 2.188861088951217e-06 1.3700199300771194e-07
